"Genes"	"regulator"
"RHOBTB1"	0
"SMC1A"	0
"HSD17B10"	0
"MARK2"	0
"HMMR"	0
"CHFR"	0
"P4HA2"	0
"FCGR2B"	0
"NFATC3"	1
"TRNT1"	0
"ACADVL"	0
"STK10"	0
"FBXW11"	0
"ACAP1"	0
"CRMP1"	0
"EVC"	0
"DERL2"	0
"SIDT1"	0
"NDE1"	0
"IRAG1"	0
"TMEM38A"	0
"AP1M1"	0
"PVR"	0
"XRCC1"	0
"SCARB1"	0
"MCM2"	0
"MOV10L1"	0
"PANX2"	0
"SELENOO"	0
"TP63"	1
"ALPK1"	0
"LLGL2"	0
"PDE8A"	0
"CLCN4"	0
"NLE1"	0
"SDHA"	0
"SMARCE1"	1
"GSDMB"	0
"KDM5A"	1
"ADAM11"	0
"PPP2R3A"	0
"FERMT2"	0
"DHRS9"	0
"PTGS2"	0
"IGF2BP2"	0
"MAP3K13"	0
"ST6GAL1"	0
"TBX21"	1
"FRY"	0
"PICALM"	0
"NSF"	0
"GLI2"	1
"CLASP1"	0
"MRPS34"	0
"NOTCH3"	0
"CLNS1A"	0
"PPP2R2C"	0
"TEAD2"	1
"EED"	1
"CDHR2"	0
"TSG101"	0
"NCBP3"	0
"ATP2A3"	0
"CA12"	0
"MGLL"	0
"NTN4"	0
"BCS1L"	0
"NUAK1"	0
"DPP8"	0
"SLC24A1"	0
"ZNF532"	1
"SCARF1"	0
"LMAN1"	0
"HACD3"	0
"IPCEF1"	0
"ZZEF1"	0
"ENO1"	1
"MYDGF"	0
"ANO8"	0
"TUBE1"	0
"ARHGEF10L"	0
"TXK"	1
"WSCD2"	0
"TACR2"	0
"ACTR6"	0
"TIPIN"	0
"SRI"	0
"EIF4G3"	0
"NUP37"	0
"SEMA3A"	0
"GTSE1"	0
"SEMA3C"	0
"TTC38"	0
"ACAT1"	0
"GRAMD4"	0
"CELSR1"	0
"ZNF638"	0
"SLC25A40"	0
"TIMM21"	0
"ADD2"	0
"RASAL2"	0
"VPS9D1"	0
"ZNF37A"	1
"MARK3"	0
"SLC25A3"	0
"FNDC3B"	0
"FOSL2"	1
"CACNG4"	0
"FRYL"	0
"TMEM131"	0
"FSCN1"	0
"ACTB"	0
"MOCOS"	0
"PLD1"	0
"ATP12A"	0
"WDR62"	0
"DLG1"	0
"RAB7A"	0
"BCAP29"	0
"SEC31B"	0
"SART3"	0
"ARHGAP15"	0
"EXOSC7"	0
"KIFAP3"	0
"MKRN2"	0
"MCM6"	0
"REXO2"	0
"RBM7"	0
"RBMS2"	0
"BAZ2A"	0
"PTPN23"	0
"MLH1"	0
"UNG"	0
"FMO4"	0
"KLHL20"	0
"RGS11"	0
"SLC46A1"	0
"PLXNA2"	0
"SPAG5"	0
"ANKRD13A"	0
"TPD52"	0
"ACACB"	0
"TRAF4"	0
"PAG1"	0
"GPATCH1"	0
"ICAM3"	0
"NT5C2"	0
"MCAM"	0
"GPC4"	0
"MBNL3"	1
"CAMSAP3"	0
"RAP1GAP"	0
"XAB2"	0
"ARHGEF1"	0
"STXBP2"	0
"MAP2K7"	0
"DGKD"	0
"CTTNBP2"	0
"RARB"	1
"TOP2B"	0
"TM9SF3"	0
"NFKB2"	1
"UBE2T"	0
"PPP1R12B"	0
"DNAJC10"	0
"GTF3C1"	0
"IL4R"	0
"USP33"	0
"PAK3"	0
"CAPN6"	0
"SNRPA"	0
"EXOSC5"	0
"DYNC1I2"	0
"APBB1IP"	0
"LRCH4"	0
"FAM76B"	0
"SIRT6"	0
"POLD3"	0
"CAPZB"	0
"GPR137B"	0
"NAALAD2"	0
"JADE1"	0
"SLC25A43"	0
"UBE2A"	0
"FGFR1"	0
"SMC1B"	0
"FBLN1"	0
"ITGA8"	0
"CST7"	0
"MAP2"	0
"PIAS2"	0
"AMPH"	0
"ARAF"	0
"MCCC1"	0
"LAMP3"	0
"FAP"	0
"NEBL"	0
"ACER3"	0
"UBE2K"	0
"PIK3C3"	0
"N4BP2"	0
"TIGAR"	0
"TULP3"	0
"SYNJ2"	0
"ADCY2"	0
"PPP2R5C"	0
"PMS2P1"	0
"GNB1"	0
"HOXA9"	1
"EDN1"	0
"MLLT10"	1
"ZCWPW1"	0
"ADCYAP1R1"	0
"P2RY10"	0
"ITM2A"	0
"NRDC"	0
"VDAC3"	0
"PCM1"	0
"TNRC6C"	0
"CBFA2T2"	0
"ITCH"	0
"TP53INP2"	0
"SDF4"	0
"MYH7B"	0
"TP73"	1
"TOLLIP"	0
"UBE2D4"	0
"CLUL1"	0
"RUNX1T1"	1
"THOC1"	0
"FKBP7"	0
"OSBPL6"	0
"SLC1A3"	0
"XRCC5"	0
"LXN"	0
"SP140"	1
"MKNK1"	0
"TNS1"	0
"REXO1"	0
"SAR1A"	0
"CDC14A"	0
"RAPGEF3"	0
"CEACAM1"	0
"SENP1"	0
"CIC"	1
"LIPE"	0
"FDFT1"	0
"PAFAH1B3"	0
"OPHN1"	0
"KIF22"	0
"CARMIL1"	0
"PGM1"	0
"DDX1"	0
"DNM2"	0
"EPB41L2"	0
"MOXD1"	0
"STX7"	0
"RABL2B"	0
"KEAP1"	0
"PTPRH"	0
"SLC35C2"	0
"CRYBG3"	0
"SCTR"	0
"RFX3"	1
"RIF1"	0
"RAB21"	0
"SLC4A4"	0
"SMARCA2"	1
"SESN1"	0
"MID2"	0
"COL5A3"	0
"SRCAP"	0
"PUM3"	0
"CHRNA3"	0
"KCNN2"	0
"CNOT4"	1
"PSEN1"	0
"CPOX"	0
"CLDND1"	0
"MOK"	0
"HSP90AA1"	0
"RBL1"	0
"DLGAP4"	0
"IGSF9B"	0
"CROCCP3"	0
"NDC80"	0
"AP4E1"	0
"RSBN1"	0
"MAGI3"	0
"CXCL2"	0
"COL4A4"	0
"TCF7"	1
"OSTM1"	0
"PCNP"	0
"EXD2"	0
"ARG2"	0
"MEF2C"	1
"PTPRC"	0
"PKP1"	0
"UBA5"	0
"STK17B"	0
"CDC14B"	0
"ZNF510"	1
"LRP2"	0
"ZNF506"	1
"JMJD4"	0
"DUSP12"	0
"AACS"	0
"DELE1"	0
"CADPS2"	0
"PCDHB4"	0
"PCDHGA2"	0
"HSPB11"	0
"PHLPP1"	0
"ATP8B1"	0
"IL12RB2"	0
"SMARCD3"	1
"WDR70"	0
"FYB1"	0
"STRADB"	0
"BZW1"	0
"PGR"	1
"C1QTNF3"	0
"ME2"	0
"C5orf22"	0
"CCNT2"	0
"FAM135A"	0
